gene,d5_mean,d14_mean,d28_mean
Pdxk,7.058453598,6.747241853,6.500660306
Kir3dl1,5.803802559,5.854261299,5.827244207
Hexim2,6.90762135,7.009090552,7.330435227
Gabra5,6.293627336,6.2242753,6.452520783
Ciapin1,10.70251592,10.66600139,10.57283454
Jkamp,10.39457984,10.47910063,10.59082658
Rac2,13.39340553,12.99486612,11.95003423
Apol9a,6.373860931,6.473492815,6.3653548
LOC498675,6.342494429,6.381557655,6.481009886
Otud6a,6.12842526,6.065185187,6.092698253
Aldh3b1,7.531287579,6.987553194,6.677549852
Vom1r96,6.051218685,5.988878691,5.976666987
Tsn,10.55136965,10.55709549,10.62998351
Mapk3,8.166027596,8.773080872,8.881784176
Anxa13,6.209970404,6.172933149,6.307942024
Xpo5,6.854886177,6.935284153,6.963869871
Smarcd2,8.520278659,8.409293881,8.423769592
Olr332,6.159387973,6.173474669,6.095571761
Fam178b,5.996349935,6.206059605,6.191955094
Nfkbil1,7.033772902,7.089439858,7.223439443
Pim1,6.787845552,6.503892109,6.406254186
Cklf,8.924390265,8.562215938,8.500673889
Tnfrsf26,6.207163813,6.125913883,6.088613304
Olr1201,7.389477704,7.304443279,7.357647526
Izumo1,6.051264996,6.081173188,6.099535793
Olr623,6.520373207,6.334769499,6.376994183
Ttc29,6.693193451,6.684273793,6.560156279
Cyp4b1,6.104412087,6.133062693,6.36938742
Fam134a,9.78979212,9.749300846,10.11428608
Slc25a25,9.15323721,9.243195469,9.080326043
Vps36,11.715252,11.297988,10.77969567
Zcchc17,7.120396268,7.078310113,7.174933097
Tex36,6.026559934,6.028007978,6.040528177
Ube3a,7.36853377,7.39719706,7.474020331
Timm10b,10.53502488,10.61508561,10.62730066
Wash,8.259125754,8.242393205,8.288645637
Olr1361,6.30510317,6.262385472,6.185911264
Evpl,6.075356409,5.99014306,5.987563346
Fev,5.972176684,5.83593855,5.844580624
Bmp2,6.808474169,6.650849331,6.899775324
Hspa12a,6.074442308,6.293535022,6.282607958
Arrb2,6.338220422,6.327888905,6.308189705
Vom1r66,5.789608168,5.799498365,5.800766517
Cdc20,9.333291316,9.75761134,8.265354901
Rasgrf2,6.067616426,6.047394232,6.1481425
Fam46c,7.446156054,7.10130868,6.668777838
Fktn,6.279925852,6.212493575,6.295091716
Prg3,6.454190688,6.41526839,6.402903533
Arl1,10.87125129,10.67497559,10.5140604
Vom1r90,6.409677834,6.441962335,6.442651801
