row_idx,col_idx,log2ratio
1,1,7.058453598
1,2,6.747241853
1,3,6.500660306
2,2,5.854261299
2,3,5.827244207
2,1,5.803802559
3,3,7.330435227
3,2,7.009090552
3,1,6.90762135
4,3,6.452520783
4,1,6.293627336
4,2,6.2242753
5,1,10.70251592
5,2,10.66600139
5,3,10.57283454
6,3,10.59082658
6,2,10.47910063
6,1,10.39457984
7,1,13.39340553
7,2,12.99486612
7,3,11.95003423
8,2,6.473492815
8,1,6.373860931
8,3,6.3653548
9,3,6.481009886
9,2,6.381557655
9,1,6.342494429
10,1,6.12842526
10,3,6.092698253
10,2,6.065185187
11,1,7.531287579
11,2,6.987553194
11,3,6.677549852
12,1,6.051218685
12,2,5.988878691
12,3,5.976666987
13,3,10.62998351
13,2,10.55709549
13,1,10.55136965
14,3,8.881784176
14,2,8.773080872
14,1,8.166027596
15,3,6.307942024
15,1,6.209970404
15,2,6.172933149
16,3,6.963869871
16,2,6.935284153
16,1,6.854886177
17,1,8.520278659
17,3,8.423769592
17,2,8.409293881
18,2,6.173474669
18,1,6.159387973
18,3,6.095571761
19,2,6.206059605
19,3,6.191955094
19,1,5.996349935
20,3,7.223439443
20,2,7.089439858
20,1,7.033772902
21,1,6.787845552
21,2,6.503892109
21,3,6.406254186
22,1,8.924390265
22,2,8.562215938
22,3,8.500673889
23,1,6.207163813
23,2,6.125913883
23,3,6.088613304
24,1,7.389477704
24,3,7.357647526
24,2,7.304443279
25,3,6.099535793
25,2,6.081173188
25,1,6.051264996
26,1,6.520373207
26,3,6.376994183
26,2,6.334769499
27,1,6.693193451
27,2,6.684273793
27,3,6.560156279
28,3,10.11428608
28,1,9.78979212
28,2,9.749300846
28,3,6.36938742
28,2,6.133062693
28,1,6.104412087
30,2,9.243195469
30,1,9.15323721
30,3,9.080326043
31,1,11.715252
31,2,11.297988
31,3,10.77969567
32,3,7.174933097
32,1,7.120396268
32,2,7.078310113
33,3,6.040528177
33,2,6.028007978
33,1,6.026559934
34,3,7.474020331
34,2,7.39719706
34,1,7.36853377
35,3,10.62730066
35,2,10.61508561
35,1,10.53502488
36,3,8.288645637
36,1,8.259125754
36,2,8.242393205
37,1,6.30510317
37,2,6.262385472
37,3,6.185911264
38,1,6.075356409
38,2,5.99014306
38,3,5.987563346
39,1,5.972176684
39,3,5.844580624
39,2,5.83593855
40,3,6.899775324
40,1,6.808474169
40,2,6.650849331
41,2,6.293535022
41,3,6.282607958
41,1,6.074442308
42,1,6.338220422
42,2,6.327888905
42,3,6.308189705
43,3,5.800766517
43,2,5.799498365
43,1,5.789608168
44,2,9.75761134
44,1,9.333291316
44,3,8.265354901
45,3,6.1481425
45,1,6.067616426
45,2,6.047394232
46,1,7.446156054
46,2,7.10130868
46,3,6.668777838
47,3,6.295091716
47,1,6.279925852
47,2,6.212493575
48,1,6.454190688
48,2,6.41526839
48,3,6.402903533
49,1,10.87125129
49,2,10.67497559
49,3,10.5140604
50,3,6.442651801
50,2,6.441962335
50,1,6.409677834
