gene,d5.d14,d5.d28,d14.d5,d14.d28,d28.d5,d28.d14
Crat,-0.126428345,-0.129039773,0.126428345,-0.002611428,0.129039773,0.002611428
Cadm1,0.007754641,0.044719845,-0.007754641,0.036965204,-0.044719845,-0.036965204
Tmed3,-0.248090345,0.160913076,0.248090345,0.409003422,-0.160913076,-0.409003422
B3galt5,0.140779758,0.193501224,-0.140779758,0.052721466,-0.193501224,-0.052721466
G0s2,-0.111029514,0.007523277,0.111029514,0.118552791,-0.007523277,-0.118552791
Fam107a,-0.003239703,0.006316568,0.003239703,0.009556271,-0.006316568,-0.009556271
Cib2,-0.000886415,-0.005836635,0.000886415,-0.00495022,0.005836635,0.00495022
Sult2b1,0.044255619,0.07396212,-0.044255619,0.029706501,-0.07396212,-0.029706501
Asrgl1,-0.366195435,-0.426409969,0.366195435,-0.060214534,0.426409969,0.060214534
Wnt5b,-0.024069244,0.018110069,0.024069244,0.042179313,-0.018110069,-0.042179313
Tmem189,-0.074621231,-0.102013084,0.074621231,-0.027391853,0.102013084,0.027391853
Gstp1,-0.043560977,-0.140016154,0.043560977,-0.096455177,0.140016154,0.096455177
Letm1,0.079419869,-0.011963666,-0.079419869,-0.091383535,0.011963666,0.091383535
Acbd4,-0.09793121,-0.026787306,0.09793121,0.071143904,0.026787306,-0.071143904
Stard13,-0.023954091,0.038587032,0.023954091,0.062541123,-0.038587032,-0.062541123
Wdfy1,-0.406114995,-0.0884594,0.406114995,0.317655596,0.0884594,-0.317655596
Clpx,-0.013471079,0.015026406,0.013471079,0.028497485,-0.015026406,-0.028497485
Abcb4,-0.07583058,0.089724431,0.07583058,0.16555501,-0.089724431,-0.16555501
Marveld1,0.053306374,0.041734711,-0.053306374,-0.011571663,-0.041734711,0.011571663
Mtx1,0.189226788,0.468515793,-0.189226788,0.279289005,-0.468515793,-0.279289005
Hip1,0.022680015,0.025241448,-0.022680015,0.002561433,-0.025241448,-0.002561433
Veph1,0.04685916,0.001723279,-0.04685916,-0.045135881,-0.001723279,0.045135881
Tmem97,-0.374378638,-0.167575068,0.374378638,0.206803571,0.167575068,-0.206803571
Enpp3,0.203444695,0.191770874,-0.203444695,-0.011673821,-0.191770874,0.011673821
Vash2,0.112432875,0.017931456,-0.112432875,-0.094501419,-0.017931456,0.094501419
Hsp90ab1,0.060222978,0.122593452,-0.060222978,0.062370474,-0.122593452,-0.062370474
Nadk,-0.064422554,-0.035289646,0.064422554,0.029132909,0.035289646,-0.029132909
Ier5,0.421413431,0.54483534,-0.421413431,0.123421909,-0.54483534,-0.123421909
Inhbb,0.025881604,0.030692428,-0.025881604,0.004810824,-0.030692428,-0.004810824
Gcnt2,0.02329679,0.057786833,-0.02329679,0.034490043,-0.057786833,-0.034490043
Serpina11,-0.186688881,-0.352367061,0.186688881,-0.165678179,0.352367061,0.165678179
Cdca7,0.516523467,1.099437828,-0.516523467,0.582914361,-1.099437828,-0.582914361
36951,-0.029852656,0.034135409,0.029852656,0.063988065,-0.034135409,-0.063988065
Vps13d,-0.120965653,-0.053720081,0.120965653,0.067245572,0.053720081,-0.067245572
Fam3a,-0.0414399,-0.035840902,0.0414399,0.005598998,0.035840902,-0.005598998
Cd99,-0.201669696,-0.623497348,0.201669696,-0.421827652,0.623497348,0.421827652
Ccdc117,0.116931219,0.092522605,-0.116931219,-0.024408614,-0.092522605,0.024408614
Qprt,-0.133978153,0.126958876,0.133978153,0.260937028,-0.126958876,-0.260937028
Pgrmc2,-0.065491146,-0.025901847,0.065491146,0.039589298,0.025901847,-0.039589298
Cml2,0.011394397,-0.028139031,-0.011394397,-0.039533428,0.028139031,0.039533428
Slc25a30,0.355219423,0.584704036,-0.355219423,0.229484613,-0.584704036,-0.229484613
Sar1a,0.034354786,0.063137319,-0.034354786,0.028782534,-0.063137319,-0.028782534
Tob2,0.084286713,0.05751637,-0.084286713,-0.026770344,-0.05751637,0.026770344
Gbas,-0.061577588,-0.016432128,0.061577588,0.04514546,0.016432128,-0.04514546
Fam20b,0.131871804,0.11675562,-0.131871804,-0.015116184,-0.11675562,0.015116184
Atg2a,-0.047433015,0.188820205,0.047433015,0.23625322,-0.188820205,-0.23625322
Slc45a3,-0.253671938,-0.215787707,0.253671938,0.037884231,0.215787707,-0.037884231
Yae1d1,-0.016704332,0.018889221,0.016704332,0.035593553,-0.018889221,-0.035593553
Zbtb39,0.093854826,0.024724278,-0.093854826,-0.069130548,-0.024724278,0.069130548
G3bp2,-0.049208291,-0.024688133,0.049208291,0.024520158,0.024688133,-0.024520158
