gene,Astrocytes,Neuron,Oligodendrocyte Precursor Cell,Newly Formed Oligodendrocyte,Myelinating Oligodendrocytes,Microglia,Endothelial Cells
Tuba1a,8.05039286,10.75003698,9.674721924,10.82670737,9.972118218,7.428778891,9.214561978
Gm1821,8.877130729,10.05311134,10.41890673,10.27972664,10.31152128,11.15791531,10.85805872
Tubb2a,8.794740761,9.765534746,7.501439145,7.151777655,5.482202926,5.608809243,5.730639956
Reln,0.263034406,9.726388479,-1.321928095,-3.321928095,-2.321928095,-3.321928095,-0.736965594
Tmsb4x,7.569096095,9.618201942,9.501439145,9.518849829,10.31186182,11.91949651,12.8992625
Sst,1.070389328,9.46311562,1.887525271,-0.736965594,2.03562391,1.321928095,1.321928095
Fos,11.77136566,9.344073938,8.157852169,6.17990909,6.432959407,9.933985654,9.53838296
Npy,-0.514573173,9.336283388,3.722466024,0.925999419,1.678071905,0.925999419,1.070389328
Rtn1,5.50779464,9.249824549,7.75087444,8.087462841,6.01346226,4.94016675,2.232660757
Nnat,6.145677455,9.031770114,8.144148367,6.556122818,3.419538892,2.03562391,4.070389328
Actg1,8.800252806,9.018756559,8.784634846,8.744833837,7.900866808,10.12670447,9.570804438
Psap,9.344739746,8.949534933,9.054197294,8.905086099,8.432124273,10.79952448,7.905086099
Gnas,7.55228484,8.944272818,8.722807531,8.409815196,8.33315535,8.400879436,8.823048729
Cpe,10.7561393,8.851749041,9.317864798,7.253611152,6.841721581,5.501439145,8.140574178
Eef1a1,7.699051844,8.850811922,9.435045131,9.386509204,9.253611152,10.21395476,11.1188762
Stmn1,3.584962501,8.843921051,4.827819025,5.416164165,7.410239331,4.09592442,6.199672345
Uchl1,2.786596362,8.815063017,5.781359714,4.902073579,5.984133595,3.827819025,5.995484519
Hsp90ab1,7.381110294,8.794740761,8.415319248,8.647458426,8.575161033,8.239837169,9.078417702
Tubb2b,7.644577357,8.787249608,6.949534933,7.501439145,4.887525271,3.596935142,3.817623258
Tubb5,5.165911939,8.773139207,7.746850183,6.917670434,5.626439137,7.566054038,8.173427297
Basp1,1.263034406,8.754219433,6.818901676,4.711494907,3.321928095,7.29186137,1.678071905
Cst3,11.68558104,8.745842363,11.29479303,8.350497247,9.35160183,15.57217913,9.492654371
Gm6682,6.125155131,8.70528679,7.837943242,8.823048729,8.031770114,7.102238194,7.73809226
Stmn3,3.017921908,8.687900522,6.955359305,5.004501392,5,3.797012978,2.925999419
Eef2,7.186857067,8.682994584,8.605849867,8.795065583,8.786269628,9.726047819,9.608439653
Ubb,6.213347282,8.648537346,8.142617655,7.943100848,7.880807948,8.474111514,10.38618584
Stmn2,1.807354922,8.601027897,3.217230716,0.678071905,3.232660757,2.292781749,4.300123725
Gpm6a,8.528258743,8.587964989,8.685449638,6.517275693,4.572889668,2.292781749,2.378511623
Atp5b,7.740792672,8.585338154,8.714245518,8.731319031,8.103287808,8.11997861,8.503825738
Slc25a4,7.075746538,8.5360529,8.153805336,7.787902559,7.524345816,5.658211483,7.174925683
Meg3,1.5360529,8.523561956,4.078951341,1.963474124,1,3.632268215,-0.736965594
Atp1a3,0.485426827,8.441699257,5.501439145,3.087462841,3.867896464,3.498250868,1.263034406
Rtn3,7.371558863,8.440869168,7.612499946,7.6574971,7.74348804,6.236492618,5.882643049
Gap43,1.321928095,8.43629512,5.605849867,2.944858446,2.807354922,1.201633861,1.201633861
Ywhae,7.433794059,8.434211203,8.494255587,8.544578117,7.911092332,7.190812368,7.883254231
Ndfip1,6.298291731,8.381110294,7.962896005,8.328226119,7.004501392,6.181897643,7.748863715
Nsg2,2.40599236,8.378511623,6.459431619,4.193771743,2.700439718,1.807354922,1.765534746
Tubb3,1.070389328,8.369379235,3.754887502,2.459431619,4.070389328,2.292781749,2
Marcksl1,5.902073579,8.335390355,7.545350645,8.727239777,8.792790294,9.349834091,5.332707934
Actb,8.652127928,8.33136485,9.055011227,8.627898616,8.242697768,10.94836723,8.994919089
Calm2,5.157852169,8.317864798,6.856736756,5.783980414,5.897240426,6.525129251,7.006746832
App,5.845490051,8.257859235,7.109569509,8.860776616,8.549592167,5.181897643,8.316507819
Snhg11,-0.736965594,8.25219234,0.584962501,-1.321928095,-0.321928095,1.263034406,-1.321928095
Pcp4,-0.152003093,8.247452865,6.327328083,4.590961241,4.837943242,3.786596362,2.03562391
Calm3,5.129283017,8.238882374,6.958842675,6.862947248,8.283088353,6.426264755,6.28169825
Ptms,6.495055528,8.224966365,7.349612972,5.897240426,5.935459748,8.445014846,7.839203788
Fth1,7.680886921,8.168421411,8.662134275,10.15253837,12.33228835,11.64336018,11.65194861
Ndrg4,2.510961919,8.164906927,4.491853096,2.485426827,3.472487771,3.121015401,1.263034406
Ppia,6.385431037,8.15936681,7.493455201,7.389738879,7.842978832,8.041659152,8.905387005
Sepw1,6.477353527,8.153805336,7.799605422,8.098032083,9.059344461,7.155830172,7.070389328
